Command,Wrong transcript
มิซซิ่ง,"missing, mazing, มิสติ้ง, มิซิ้ง, making, leasing"
บัคคัล,"buccal, bacar, macro, bacon, บัคเคิล, บาคอล, บัคค่อว, มาคั่น, บาคั่น, บัคคอล, บาคลั่ง, บางท่าน, บางคั่น, bocal, บรอคคอล, บัคคล, บางคัน, บาคัน, บางครั้ง, ปัคคัน, บัคอน, ท่าน, บัคคั่น, ละคัน, ลักคัน, ลักลั่น"
ดิสทัล,"distal, digital, detal, ดิสทอล, วิทอล, ดิตอล, ดิจิทัล, ติดต่อ, ดิตัล, ดิทัล, อดิชั่น, ดิสทรันด์, ดิทอล, ดิสทรัล, ดิสทรอล"
มีเสี้ยว,"มีเตียล, มีเสียว, มีเสียล, มิเซียล, มีเซี่ยว, mesial, มีเสี้ยว, มิเซี่ยว, มีเซี้ยล, มีเซียว"
เอ็มจีเจ,"เอ็มดีเจ, เอ็มดีจี"
เอ็มโอ,"mo"
ลิงกัว,"จงกลัว, ลิงก้วล, lingual, ลิงกัว, ลิงเกิล, ลิงโก้, ลิงกลัว, ลิงกั้ว, ลิงกูวั่ว"
ลบ,รับ
ซี่,ที่
ห้า,ถ้า
สี่สี่,"cc,ซีซี"
สอง สาม,สองสาม